开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
ji2	〖山 及 岌〗
qian1	〖山 开 岍〗
fen1	〖山 分 岎〗
yuan2	〖山 元 岏〗
qi2	〖山 支 岐〗
cen2	〖山 今 岑〗
qian2	〖山 今 岒〗
qi2	〖山 斤 岓〗
cha4	〖分 山 岔〗
jie4	〖山 介 岕〗
ao4	〖夭 山 岙〗
ba1	〖山 巴 岜〗
zuo4	〖山 乍 岝〗
zuo4	〖山 乍 岞〗
yang3	〖山 央 岟〗
ju4	〖山 巨 岠〗
gang1	〖冂 丷 一 山 岡〗〖冂 乂 冈〗
ke3	〖山 可 岢〗
gou3	〖山 句 岣〗
xue4	〖山 穴 岤〗
bei1, po1, pi2	〖山 皮 岥〗
li4	〖山 立 岦〗
tiao2	〖山 召 岧〗
ju1, ju3	〖山 且 岨〗
yan2	〖山 石 岩〗
fu2	〖山 弗 岪〗
xiu4	〖山 由 岫〗
jia3	〖山 甲 岬〗
tuo2	〖山 它 岮〗
pei1, pei2	〖山 丕 岯〗
you3	〖山 幼 岰〗
dai4	〖代 山 岱〗
kuang4	〖山 兄 岲〗
yue4	〖丘 山 岳〗
qu1	〖山 丘 岴〗
hu4	〖山 古 岵〗
po4	〖山 白 岶〗
min2	〖山 民 岷〗
an4	〖山 厂 干 岸〗
tiao2	〖山 召 岹〗
ling2	〖山 令 岺〗
chi2	〖山 氐 岻〗
xiu4	〖山 田 峀〗
mao3	〖山 卯 峁〗
tong2	〖山 冬 峂〗
he1	〖山 合 峆〗
ke1, ba1	〖山 合 峇〗
luo4	〖山 各 峈〗
e1, e4	〖山 各 峉〗
fu4, nie4	〖戶 乛 一 山 峊〗〖户 乛 一 山 峊〗
xun2	〖山 旬 峋〗
die2	〖山 至 峌〗
lu4	〖山 聿 峍〗
an1	〖山 艮 峎〗
er3	〖山 而 峏〗
gai1	〖山 亥 峐〗
quan2	〖山 全 峑〗
tong2	〖山 同 峒〗
yi2	〖山 夷 峓〗
mu3	〖山 老 峔〗
shi2	〖山 亠 日 峕〗
an1	〖山 安 峖〗
wei2	〖山 危 峗〗
hu1, huan2	〖山 亘 峘〗
zhi4	〖山 寺 峙〗
mi4	〖山 圶 峚〗
li3	〖山 列 峛〗
ji1	〖山 企 峜〗
tong2, dong4	〖山 同 峝〗
wei2	〖山 危 峞〗
you4	〖山 有 峟〗
	〖山 上 下 峠〗
li3	〖山 列 峢〗
jiao1	〖山 交 峧〗
e2	〖山 我 峨〗
e2	〖山 我 峩〗〖山 我 峨〗
yu4	〖山 谷 峪〗
ye2	〖山 邪 峫〗
bu1	〖山 甫 峬〗
qiao4	〖山 肖 峭〗
qun1	〖山 君 峮〗
feng1	〖山 夆 峯〗
feng1	〖山 夆 峰〗
nao2	〖丑 山 峱〗
li3	〖山 利 峲〗
you2	〖山 攸 峳〗
xian4	〖山 見 峴〗〖山 见 岘〗
hong2	〖山 宏 峵〗
dao3	〖丶 彐 一 勹 山 島〗〖勹 丶 勹 山 岛〗
shen1	〖山 辛 峷〗
cheng2	〖山 成 峸〗
tu2	〖余 山 峹〗
geng3	〖山 更 峺〗
jun4	〖山 夋 峻〗
hao4	〖山 告 峼〗
xia2	〖山 夾 峽〗〖山 夹 峡〗
yin1, yin2	〖沂 山 峾〗
yu3, wu2	〖山 吾 峿〗
lang4	〖山 良 崀〗
kan4	〖山 坎 崁〗
que4	〖山 角 崅〗
kong1	〖山 空 崆〗
chong2	〖山 宗 崇〗
chong2	〖宗 山 崈〗
ta4	〖山 沓 崉〗
ju1	〖山 居 崌〗
lai2	〖山 來 崍〗〖山 来 崃〗
qi2	〖山 奇 崎〗
min2	〖山 昏 崏〗
kun1	〖山 昆 崐〗
kun1	〖山 昆 崑〗〖日 比 昆〗
zu2, cui4	〖山 卒 崒〗
gu4	〖山 固 崓〗
cui1	〖山 隹 崔〗
ya2, yai2	〖山 厓 崕〗
ya2, yai2	〖山 厓 崖〗
gang3	〖山 岡 崗〗〖山 冈 岗〗
lun2	〖山 侖 崘〗〖山 仑 □〗
lun2	〖山 侖 崙〗〖人 匕 仑〗
leng2	〖山 夌 崚〗
jue2	〖山 屈 崛〗
duo1	〖山 垂 崜〗
zheng1	〖山 青 崝〗
guo1	〖山 享 崞〗
yin2	〖山 金 崟〗
dong1, dong4	〖山 東 崠〗〖山 东 □〗
han2	〖山 函 崡〗
zheng1	〖山 爭 崢〗〖山 争 峥〗
wei3	〖山 委 崣〗
yao2	〖山 肴 崤〗
pi3	〖山 卑 崥〗
yan1	〖山 奄 崦〗
song1	〖山 松 崧〗
beng1	〖山 朋 崩〗
zu2, cui4	〖山 卒 崪〗
jue2	〖山 屈 崫〗
dong1	〖山 東 崬〗〖山 东 岽〗
gu4	〖山 固 崮〗
yin2	〖山 金 崯〗
ze2, ze4	〖山 則 崱〗〖山 则 □〗
huang2	〖山 皇 崲〗
yu2	〖山 俞 崳〗
wei1	〖山 威 崴〗
yang2	〖山 昜 崵〗〖山 弓 丿 丿 □〗
feng1	〖山 封 崶〗
qiu2	〖山 酋 崷〗
dun4	〖山 頁 崸〗〖山 页 □〗
ti2	〖山 帝 崹〗
yi3	〖山 施 崺〗
zhi4	〖山 待 崻〗
shi4	〖山 是 崼〗
zai3	〖山 思 崽〗
yao3	〖山 要 崾〗
e4	〖山 咢 崿〗
zhu4	〖山 柱 嵀〗
kan1	〖山 甚 嵁〗
lü4	〖山 律 嵂〗
yan3	〖山 彦 嵃〗
mei3	〖山 美 嵄〗
gan1	〖山 咸 嵅〗
ji1	〖禾 尤 山 嵆〗
ji1	〖禾 尤 山 嵇〗
huan3	〖山 爰 嵈〗
ting2	〖山 亭 嵉〗
sheng4	〖山 乘 嵊〗
mei2	〖山 眉 嵋〗
qian4	〖山 甘 欠 嵌〗
wu4	〖敄 山 嵍〗
yu2	〖山 禺 嵎〗
zong1	〖山 凶 八 夕 嵏〗〖山 凶 八 夂 嵏〗
lan2	〖山 風 嵐〗〖山 风 岚〗
jue2, he2, jie2	〖山 曷 嵑〗
yan2	〖品 山 嵒〗
yan2	〖山 品 嵓〗
wei3, wei4	〖山 畏 嵔〗
zong1	〖山 凶 八 夕 嵕〗〖山 凶 八 夂 嵕〗
cha2	〖山 查 嵖〗
sui4	〖山 戊 丁 丶 丿 嵗〗〖山 戊 一 小 嵗〗
yu2	〖山 俞 嵛〗
tu2	〖余 山 山 嵞〗
dui1	〖山 隹 嵟〗
xi1, ji1, qi1	〖山 奚 嵠〗
weng1	〖山 翁 嵡〗
cang1	〖山 倉 嵢〗
dang1	〖山 唐 嵣〗
hong2	〖火 火 冖 山 嵤〗〖火 火 冚 嵤〗
jie2	〖山 桀 嵥〗
ai2	〖山 豈 嵦〗〖山 岂 □〗
liu2	〖山 留 嵧〗
wu3	〖山 烏 嵨〗〖山 乌 □〗
song1	〖山 高 嵩〗
qiao1	〖山 高 嵪〗〖山 高 □〗
zi1	〖山 兹 嵫〗
wei2	〖山 鬼 嵬〗
beng1	〖山 旁 嵭〗
dian1	〖山 真 嵮〗
cuo2, ci1	〖山 差 嵯〗
qian3	〖山 兼 嵰〗
yong3	〖山 容 嵱〗
nie4	〖山 臬 嵲〗
cuo2, ci1	〖山 差 嵳〗
ji2	〖山 脊 嵴〗
song3	〖山 從 嵷〗〖山 从 □〗
zong1	〖山 從 嵸〗〖山 从 □〗
jiang4, qiang2	〖山 強 嵹〗
liao2	〖山 翏 嵺〗
chan3	〖山 產 嵼〗〖山 产 □〗
die2, di4	〖山 帶 嵽〗〖山 带 □〗
cen1	〖山 參 嵾〗〖山 参 □〗
ding3	〖山 頂 嵿〗〖山 顶 □〗
tu1	〖山 雩 嶀〗
lou3, lü3	〖山 婁 嶁〗〖山 娄 嵝〗
zhang4	〖山 章 嶂〗
zhan3	〖山 斬 嶃〗〖山 斩 □〗
zhan3	〖山 斬 嶄〗〖山 斩 崭〗
ao2	〖敖 山 嶅〗
cao2	〖山 曹 嶆〗
qu1	〖山 區 嶇〗〖山 区 岖〗
qiang1	〖山 將 嶈〗〖山 将 □〗
zui1	〖山 唯 嶉〗
zui3	〖山 推 嶊〗
dao3	〖山 島 嶋〗〖山 岛 □〗
dao3	〖山 島 嶌〗〖山 岛 □〗
xi2	〖山 習 嶍〗
yu4	〖山 尉 嶎〗
bo2	〖山 厂 配 嶏〗
long2	〖山 隆 嶐〗
xiang3	〖山 象 嶑〗
ceng2	〖山 曾 嶒〗
bo1	〖山 番 嶓〗
qin1	〖山 欽 嶔〗〖山 钦 嵚〗
jiao1	〖山 焦 嶕〗
yan3	〖山 翕 嶖〗
lao2	〖山 勞 嶗〗〖山 劳 崂〗
zhan4	〖山 棧 嶘〗〖山 栈 □〗
lin2	〖山 粦 嶙〗
liao2	〖山 尞 嶚〗
liao2	〖山 尞 嶛〗
jin1	〖山 旡 旡 日 嶜〗
deng4	〖山 登 嶝〗
duo4	〖隋 山 嶞〗
zun1	〖山 尊 嶟〗
jiao4, qiao2	〖山 喬 嶠〗〖山 乔 峤〗
gui4	〖山 厥 嶡〗
yao2	〖山 堯 嶢〗〖山 尧 峣〗
qiao2	〖山 焦 嶣〗〖崔 火 嶣〗〖崔 灬 嶣〗
yao2	〖山 堯 嶤〗〖山 尧 □〗
jue2	〖山 厥 嶥〗
zhan1	〖山 詹 嶦〗
yi4	〖山 睪 嶧〗〖山 又 二 丨 峄〗
xue2	〖臼 爻 冖 山 嶨〗〖小 冖 山 峃〗
nao2	〖山 農 嶩〗〖山 农 □〗
ye4	〖山 業 嶪〗〖山 业 □〗
ye4	〖山 業 嶫〗〖山 业 □〗
yi2	〖山 義 嶬〗〖山 义 □〗
e4, nie4	〖山 戶 乛 一 辛 嶭〗〖山 户 乛 一 辛 嶭〗
xian3	〖山 僉 嶮〗〖山 佥 崄〗
ji2	〖山 戢 嶯〗
xie4	〖山 解 嶰〗
ke3, ge2	〖山 葛 嶱〗
xi1	〖山 雋 嶲〗〖隹 乃 隽〗
di4	〖山 豕 土 土 嶳〗
ao4	〖奧 山 嶴〗〖奥 山 □〗
zui3	〖山 罪 嶵〗
yi2, ni4	〖山 疑 嶷〗
rong2	〖山 榮 嶸〗〖山 荣 嵘〗
dao3	〖山 壽 嶹〗〖山 寿 □〗
ling3	〖山 領 嶺〗〖山 令 岭〗
za2	〖山 截 嶻〗
yu3	〖山 與 嶼〗〖山 与 屿〗
yue4	〖山 獄 嶽〗〖丘 山 岳〗
yin3	〖山 爪 工 彐 心 嶾〗〖山 急 □〗
jie1	〖山 雀 戈 巀〗
li4	〖山 厲 巁〗〖山 厉 □〗
sui3, gui1	〖山 隹 冏 巂〗
long2	〖山 龍 巃〗〖山 龙 □〗
long2	〖山 龍 巄〗〖山 龙 □〗
ying2	〖山 營 巆〗〖山 营 □〗
xi1	〖山 戲 巇〗〖山 戏 □〗
ju2	〖山 鞠 巈〗
chan2	〖山 毚 巉〗
ying3	〖山 嬰 巊〗〖山 婴 □〗
kui1	〖山 歸 巋〗〖山 归 岿〗
yan2	〖山 厳 巌〗〖山 石 岩〗
wei1, wei2	〖山 魏 巍〗
nao2	〖山 夒 巎〗
quan2	〖山 雚 巏〗
chao3	〖山 高 昇 巐〗
cuan2	〖山 贊 巑〗〖山 赞 □〗
luan2	〖絲 言 山 巒〗〖亦 山 峦〗
dian1	〖山 顚 巓〗
dian1	〖山 顛 巔〗
yan2	〖山 嚴 巖〗〖山 严 □〗
yan2	〖山 嚴 巗〗〖山 严 □〗
yan3	〖山 獻 巘〗〖山 献 □〗
nao2	〖山 夔 巙〗
yan3	〖山 獻 巚〗〖山 献 □〗
chuan1	〖丿 丨 丨 川〗
zhou1	〖川 丶 丶 丶 州〗
huang1	〖亡 川 巟〗
jing1	〖一 巛 工 巠〗
xun2	〖辵 巛 巡〗〖辶 巛 巡〗
chao2	〖巛 果 巢〗
chao2	〖小 果 巣〗〖巛 果 巢〗
lie1	〖巛 囗 乂 𠄌 丶 丶 𠄌 丶 丶 乀 巤〗
gong1	〖二 丨 工〗〖一 丨 一 工〗
zuo3	〖一 丿 工 左〗
qiao3	〖工 丂 巧〗〖工 万 巧〗
ju4	〖匚 乛 一 巨〗〖匸 ㇆ 一 巨〗
wu1	〖工 人 人 巫〗
	〖功 夫 巭〗
cha1, cha4, chai1, ci1	〖羊 丿 工 差〗
qiu2	〖巠 㐬 巰〗〖圣 㐬 巯〗〖圣 巟 巯〗
ji3	〖㇆ 一 乚〗
yi3	〖㇆ 一 乚〗
si4	〖㇆ 一 乚 巳〗
ba1, ba5	〖巳 丨 巴〗〖巳 丶 巴〗
zhi1	〖厂 一 巴 巵〗
zhao1, zhao4	〖召 巳 巶〗
xiang4	〖共 己 巷〗
jin3	〖丞 己 巹〗
xun4	〖巳 巳 一 八 巺〗
juan4, juan3	〖丷 夫 己 巻〗〖夫 八 卩 卷〗
xun4	〖己 己 共 巽〗
jin1	〖冂 丨 巾〗
fu2	〖一 巾 巿〗
za1	〖丿 巾 帀〗〖一 巾 巿〗
shi4	〖亠 巾 市〗
bu4	〖一 丿 巾 布〗
ding1	〖巾 丁 帄〗
fan1	〖巾 凡 帆〗
nie4	〖彐 巾 帇〗
fen1	〖巾 分 帉〗
pa4	〖巾 巴 帊〗
zhi3	〖氏 巾 帋〗
xi1	〖乂 布 希〗〖乂 一 丿 巾 希〗
hu4	〖戶 巾 帍〗〖户 巾 帍〗〖戸 巾 帍〗
dan4	〖巾 冘 帎〗
tang3	〖奴 巾 帑〗
dai4	〖代 巾 帒〗
ma4	〖巾 末 帓〗
pei4	〖巾 皮 帔〗
pa4	〖巾 白 帕〗
tie3, tie4	〖巾 占 帖〗
fu2	〖巾 犮 帗〗
lian2	〖奴 巾 帘〗
zhi4	〖巾 失 帙〗
zhou3	〖彐 冖 巾 帚〗
bo2	〖白 巾 帛〗
di4	〖亠 丷 冖 巾 帝〗
mo4	〖巾 百 帞〗
yi4	〖亦 巾 帟〗
yi4	〖臼 巾 帠〗
qia4	〖巾 合 帢〗
juan4	〖丷 夫 巾 帣〗
ru2	〖如 巾 帤〗
shuai4	〖戶 乛 一 巾 帥〗〖丨 丿 巾 帅〗
shui4	〖巾 兌 帨〗〖巾 兑 帨〗
qiao4	〖巾 肖 帩〗
zhen1	〖巾 辰 帪〗
shi1	〖戶 乛 一 帀 師〗〖丨 丿 帀 师〗
qun2	〖尹 吊 帬〗
xi2	〖广 廿 巾 席〗
dai4	〖丗 冖 巾 帯〗
ping2	〖巾 幷 帲〗〖巾 并 帡〗
zhang4	〖巾 長 帳〗〖巾 长 帐〗
sha1, jian1, jian3	〖巾 戔 帴〗〖巾 戋 □〗
wan1	〖巾 宛 帵〗
dai4	〖廿 丿 乚 冖 巾 帶〗〖卅 冖 巾 带〗
wei2	〖巾 隹 帷〗
chang2	〖尚 巾 常〗
sha4	〖巾 妾 帹〗
qi2	〖巾 其 帺〗
mao4	〖巾 冒 帽〗
du3	〖巾 者 帾〗
hou2	〖巾 侯 帿〗
zheng4	〖巾 貞 幀〗〖巾 贞 帧〗
xu1	〖巾 頁 幁〗〖巾 页 □〗
wei2	〖巾 韋 幃〗〖巾 韦 帏〗
wo4	〖巾 屋 幄〗
fu2	〖巾 畐 幅〗
yi4	〖巾 曷 幆〗
bang1	〖封 巾 幇〗〖邦 巾 帮〗
ping2	〖巾 屏 幈〗
gong1	〖巾 貢 幊〗〖巾 贡 □〗
pan2	〖般 巾 幋〗
huang3	〖巾 晃 幌〗
dao1	〖巾 舀 幍〗
mi4	〖巾 冥 幎〗
jia1, jia4	〖巾 家 幏〗
teng2	〖丷 夫 巾 幐〗
hui1	〖彳 山 帀 攴 幑〗〖彳 山 帀 攵 幑〗
zhong1	〖巾 悤 幒〗
shan1	〖巾 參 幓〗〖巾 参 □〗
man4	〖巾 曼 幔〗
mu4	〖莫 巾 幕〗
biao1	〖巾 票 幖〗
guo2	〖巾 國 幗〗〖巾 国 帼〗
ze2	〖巾 責 幘〗〖巾 责 帻〗
mu4	〖巾 莫 幙〗
bang1	〖邦 巾 幚〗
zhang4	〖巾 章 幛〗
jiong3, jing3	〖巾 景 幜〗
chan3	〖巾 單 幝〗〖巾 单 □〗
fu2	〖巾 菐 幞〗
zhi4	〖巾 戠 幟〗〖巾 只 帜〗
hu1	〖巾 無 幠〗〖巾 无 □〗
fan1	〖巾 番 幡〗
zhuang4	〖巾 童 幢〗
bi4	〖敝 巾 幣〗〖丿 巾 币〗〖一 巾 币〗
mi4	〖辟 巾 幦〗
qiao1	〖巾 喿 幧〗
chan1, chan4	〖巾 詹 幨〗
fen2	〖巾 賁 幩〗〖巾 贲 □〗
meng2, meng3	〖巾 蒙 幪〗
bang1	〖封 帛 幫〗〖邦 巾 帮〗
chou2, dao4	〖巾 壽 幬〗〖巾 寿 帱〗
mie4	〖巾 蔑 幭〗
chu2	〖巾 廚 幮〗
jie2	〖巾 節 幯〗〖巾 节 □〗
xian3	〖巾 憲 幰〗〖巾 宪 □〗
lan2	〖巾 闌 幱〗〖巾 阑 □〗
gan1	〖一 十 干〗〖二 丨 干〗
ping2	〖干 丷 平〗
nian2	〖丿 丰 丶〗〖𠂉 二 丶 丨 年〗
qian1	〖干 干 幵〗〖千 干 幵〗
xing4	〖土 丷 干 幸〗〖土 羊 幸〗
gan4	〖𠦝 人 干 幹〗〖一 十 干〗
huan4	〖幺 ㇆ 幻〗
you4	〖幺 力 幼〗
you1	〖山 幺 幺 幽〗
ji1, ji3	〖幺 幺 戈 人 幾〗〖丿 乙 几〗
pi3	〖匕 庀〗
ting1	〖广 丁 庁〗〖厂 丁 厅〗
ze4	〖广 人 庂〗
guang3	〖广 厶 広〗〖丶 一 丿 广〗
mo5	〖广 么 庅〗
bi4	〖广 比 庇〗
qin2	〖广 今 庈〗
dun4	〖广 屯 庉〗
chuang2	〖广 木 床〗
gui3	〖广 支 庋〗
ya3	〖广 牙 庌〗
bai4	〖广 斤 庍〗
jie4	〖广 介 庎〗
xu4	〖广 予 序〗
di3	〖广 氐 底〗
pao2	〖广 包 庖〗
dian4	〖广 占 店〗
ya1	〖广 甲 庘〗
geng1	〖广 彐 人 庚〗〖广 肀 人 庚〗
ci1, ci4	〖广 此 庛〗
fu3	〖广 付 府〗
tong2	〖广 冬 庝〗
xiang2	〖广 羊 庠〗
yi3	〖广 衣 庡〗
zhi4	〖广 至 庢〗
tiao1	〖广 兆 庣〗
zhi4	〖广 寺 庤〗
xiu1	〖广 休 庥〗
du4, duo2	〖广 廿 又 度〗
zuo4	〖广 坐 座〗
xiao1	〖广 孝 庨〗
tu2	〖广 余 庩〗
gui3, ji3	〖广 技 庪〗
ku4	〖广 車 庫〗〖广 车 库〗
pang2, mang2	〖广 尨 庬〗
ting2, ting4	〖广 廷 庭〗
you3, you2	〖广 酉 庮〗
bu1	〖广 甫 庯〗
ding1	〖广 并 庰〗
cheng3	〖广 夌 庱〗
lai2	〖广 來 庲〗〖广 来 □〗
bei1, bi3	〖广 卑 庳〗
ji2	〖广 昔 庴〗
an1	〖广 奄 庵〗
shu4	〖广 廿 火 庶〗〖广 廿 灬 庶〗
kang1	〖广 隶 康〗
yong1	〖广 聿 冃 庸〗〖广 聿 冂 二〗〖广 肀 冂 二 庸〗
tuo3	〖广 廿 尺 庹〗
song1	〖广 枀 庺〗
shu4, zhu4, zhe1	〖广 廿 人 人 庻〗
yu4	〖广 禺 庽〗
yu3	〖广 臾 庾〗
miao4	〖广 苗 庿〗
sou1	〖广 叜 廀〗
ce4	〖广 則 廁〗〖厂 则 厕〗
xiang1	〖厂 相 廂〗
fei4	〖广 発 廃〗〖广 发 废〗
jiu4	〖广 艮 殳 廄〗〖厂 既 厩〗
he2	〖广 盍 廅〗
hui4, gui1, wei3	〖广 鬼 廆〗
liu4	〖广 留 廇〗
sha4, xia4	〖广 夏 廈〗〖厂 夏 厦〗
lian2	〖广 兼 廉〗
lang2	〖广 郎 廊〗
sou1	〖广 叟 廋〗
zhi4	〖广 乛 一 丨 丨 ㇉ 火 廌〗〖广 乛 一 丨 丨 ㇉ 灬 廌〗
pou3	〖广 部 廍〗
qing3	〖广 頃 廎〗〖广 顷 庼〗
jiu4	〖广 白 匕 殳 廏〗
jiu4	〖广 白 匕 旡 廐〗
jin3, qin2	〖广 堇 廑〗
ao2	〖广 敖 廒〗
kuo4	〖广 郭 廓〗
lou2	〖广 婁 廔〗〖广 娄 □〗
yin4, yin1	〖广 陰 廕〗〖广 阴 □〗
liao4	〖广 翏 廖〗
dai4	〖广 帶 廗〗〖广 带 □〗
lu4	〖广 鹿 廘〗
yi4	〖广 異 廙〗〖广 异 □〗
chu2	〖广 尌 廚〗〖厂 豆 寸 厨〗
chan2	〖广 里 儿 土 廛〗
tu1	〖广 屠 廜〗
si1	〖厂 斯 廝〗
xin1	〖广 欽 廞〗〖广 钦 □〗
miao4	〖广 朝 廟〗〖广 由 廟〗
chang3	〖广 敞 廠〗〖一 丿 厂〗
wu3, wu2	〖广 無 廡〗〖广 无 庑〗
fei4	〖广 發 廢〗〖广 发 废〗
guang3	〖广 黃 廣〗〖丶 一 丿 广〗
kuai4	〖广 會 廥〗〖广 会 □〗
bi4	〖广 辟 廦〗
qiang2	〖广 嗇 廧〗〖广 啬 □〗
xie4, jie4	〖广 解 廨〗
lin3	〖广 稟 廩〗〖广 禀 廪〗
liao2	〖广 膠 廫〗〖广 胶 □〗
lu2	〖广 盧 廬〗〖广 户 庐〗
ying2	〖广 嬰 廮〗〖广 婴 □〗
xian1	〖广 鮮 廯〗〖广 鲜 □〗
ting1	〖广 聴 廰〗〖厂 丁 厅〗
yong1	〖广 雝 廱〗
li2	〖广 麗 廲〗〖广 丽 □〗
ting1	〖广 聽 廳〗〖厂 丁 厅〗
xun2	〖廴 巛 廵〗
yan2	〖廴 丿 止 延〗
ting2	〖廴 壬 廷〗
di2	〖廴 由 廸〗
po4, pai3	〖廴 白 廹〗
jian4	〖廴 聿 建〗
hui2	〖廴 回 廻〗
nai3	〖廴 西 廼〗〖丿 ㇆ ㇆ 乃〗
hui2	〖廴 囬 廽〗〖廴 回 廻〗
gong3, gong4, nian4	〖一 丿 丨 廾〗
nian4	〖一 凵 廿〗
bian4, pan2	〖厶 廾 弁〗
nong4	〖王 廾 弄〗
fen2	〖分 廾 弅〗
ju3	〖去 廾 弆〗
yan3, yan1	〖合 廾 弇〗
yi4	〖亦 廾 弈〗
zang4, zhuang3	〖壯 廾 弉〗〖壮 廾 □〗
bi4	〖敝 廾 弊〗
yi4	〖一 乁 丶 弋〗
yi1	〖弋 一 弌〗
er4	〖弋 二 弍〗
san1, san4	〖弋 三 弎〗
shi4	〖弋 工 式〗
er4	〖一 弋 二 弐〗
shi4	〖杀 式 弒〗
gong1	〖㇆ 一 ㇉ 弓〗
diao4	〖弓 丨 弔〗〖口 巾 吊〗
yin3	〖弓 丨 引〗
hu4	〖弓 一 弖〗
fu2	〖弓 丿 丨 弗〗
hong2	〖弓 厶 弘〗
wu1	〖弓 于 弙〗
tui2	〖八 弔 弚〗
chi2	〖弓 也 弛〗
jiang4, qiang2	〖弓 弓 弜〗
ba4	〖弓 巴 弝〗
shen3	〖弓 欠 弞〗
di4	〖丷 弔 丿 弟〗〖丷 弓 丨 丿 弟〗
jue2	〖弓 巨 弡〗
tao1	〖弓 山 又 弢〗〖弓 屮 又 弢〗
fu3	〖弓 付 弣〗
di3	〖弓 氐 弤〗
xian2	〖弓 玄 弦〗
hu2	〖弓 瓜 弧〗
chao1	〖弓 召 弨〗
nu3	〖奴 弓 弩〗
zhen3	〖弓 臣 弫〗
mi3	〖弓 耳 弭〗
quan1	〖丷 夫 弓 弮〗
shao1	〖弓 肖 弰〗
ruo4	〖弓 冰 弓 冰 弱〗〖弓 冫 弓 冫 弱〗
xuan1	〖弓 肙 弲〗
jing4	〖弓 巠 弳〗〖弓 圣 弪〗
dun1	〖弓 享 弴〗
zhang1	〖弓 長 張〗〖弓 长 张〗
jiang4	〖弓 京 弶〗
jiang4, qiang2, qiang3	〖弓 厶 蟲 強〗〖弓 虽 强〗
peng2	〖弓 朋 弸〗
bi4	〖弓 丙 一 弓 弻〗
bi4	〖弓 百 弓 弼〗
she4	〖弓 枼 弽〗
dan4	〖弓 単 弾〗〖弓 单 弹〗
jian3	〖宀 井 大 弓 弿〗
gou4	〖士 冖 一 弓 殳 彀〗
fa1, fa4, bo1	〖业 矤 彂〗
bi4	〖弓 畢 彃〗〖弓 毕 □〗
kou1	〖弓 區 彄〗〖弓 区 □〗
bie4	〖敝 弓 彆〗〖另 刀 别〗〖另 刂 别〗
xiao1	〖弓 肅 彇〗〖弓 肃 □〗
dan4, tan2	〖弓 單 彈〗〖弓 单 弹〗
kuo4	〖弓 黃 彉〗
qiang2, qiang3, jiang1, jiang4	〖弓 畺 彊〗
hong2	〖弓 睘 彋〗
mi2	〖弓 爾 彌〗〖弓 尔 弥〗
kuo4	〖弓 廣 彍〗〖弓 广 □〗
wan1	〖絲 言 弓 彎〗〖亦 弓 弯〗
jue2	〖弓 矍 彏〗
lu4	〖彑 水 彔〗〖彐 水 录〗
tuan4	〖彑 豕 彖〗
hui4	〖丰 丰 彐 彗〗
zhi4	〖彑 比 矢 彘〗〖彑 匕 矢 匕 彘〗
hui4	〖彑 冖 果 彙〗〖水 匚 汇〗〖氵 匚 汇〗
hui4	〖彐 冖 果 彚〗
yi2	〖彑 米 分 廾 彜〗〖彐 米 分 廾 彛〗
yi2	〖彐 米 糸 廾 彞〗〖彑 米 糸 廾 彝〗
huo4	〖尋 蒦 彠〗〖寻 蒦 彟〗
shan1, xian1	〖丿 丿 丿 彡〗
xing2	〖开 彡 形〗
wen2	〖丶 又 彡 彣〗
tong2	〖丹 彡 彤〗
yan4	〖文 厂 彡 彥〗〖亠 丷 厂 彡 彦〗
yu4	〖或 彡 彧〗〖或 丿 丿 彧〗
cai3	〖采 彡 彩〗
biao1	〖虎 彡 彪〗
diao1	〖周 彡 彫〗〖周 隹 雕〗
bin1	〖林 彡 彬〗
peng2	〖壴 彡 彭〗
yong3	〖容 彡 彮〗
piao1	〖票 彡 彯〗
zhang1	〖章 彡 彰〗
ying3	〖景 彡 影〗
chi1	〖麗 彡 彲〗〖丽 彡 彨〗
chi4	〖丿 人 彳〗〖丿 亻 彳〗
zhuo2	〖彳 勺 彴〗
tuo3	〖彳 也 彵〗
ji2	〖彳 及 彶〗
fang3, pang2	〖彳 方 彷〗〖人 方 仿〗〖亻 方 仿〗
zhong1	〖彳 公 彸〗
yi4	〖彳 殳 役〗
wang2	〖彳 王 彺〗
bi3	〖彳 皮 彼〗
chi2	〖彳 氐 彽〗
ling3	〖彳 令 彾〗
fu2	〖彳 弗 彿〗
wang3	〖彳 主 往〗
zheng1	〖彳 正 征〗
cu2	〖彳 且 徂〗
wang3, wang4	〖彳 生 徃〗
dai4	〖彳 寺 待〗
xi1	〖彳 西 徆〗
xun4, xun2	〖彳 旬 徇〗
hen3	〖彳 艮 很〗
yang2	〖彳 羊 徉〗
huai2, hui2	〖彳 回 徊〗
lü4	〖彳 聿 律〗
hou4	〖彳 幺 夂 後〗〖厂 一 口 后〗
wa1	〖彳 圭 徍〗
cheng3	〖彳 呈 徎〗
zhi4	〖彳 步 徏〗
xu2	〖彳 余 徐〗
jing4	〖彳 巠 徑〗〖彳 圣 径〗
tu2	〖彳 走 徒〗
cong2	〖彳 丷 一 卜 人  従〗〖人 人 从〗
cong2	〖彳 宗 徖〗
de2	〖彳 日 一 寸 得〗
pai2	〖彳 非 徘〗
xi3	〖彳 歨 徙〗〖彳 止 疋 徙〗
qi4	〖彳 奇 徛〗
