开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
qiu1	〖厂 工 丘〗〖厂 丅 一 丘〗
bing3	〖一 人 冂 丙〗
cheng2	〖氶 一 丞〗
diu1	〖三 厶 丟〗〖丿 去 丢〗
qiu1	〖北 一 丠〗
liang3, liang4	〖一 山 冂 両〗
bing4	〖丷 亚 並〗〖丷 开 并〗
ya1	〖丶 丶 丨 丫〗
qiang2	〖冫 丨 丬〗
zhong1, zhong4	〖口 丨 中〗
ji3	〖乁 二 丨 丮〗
jie4	〖丨 彡 丯〗
feng1	〖丿 二 丨 丰〗〖三 丨 丰〗
chuan4	〖口 口 丨 串〗〖中 口 串〗
chan3	〖串 丿 丳〗
zhuo3	〖业 丷 干 丵〗
ba1	〖丶 丿 丷〗
wan2	〖丶 九 丸〗
dan1	〖冂 丶 一 丹〗
zhu3	〖丶 王 主〗
jing3	〖井 丶 丼〗
yi4	〖乀 丿 乂〗
nai3	〖丿 ㇆ ㇆ 乃〗
jiu3	〖丿 入 久〗
jiu3	〖𠃊 人 乆〗
zhe2, nue4, zhe4, tuo1	〖丿 七 乇〗
yao1	〖丿 厶 么〗〖𠃊 厶 幺〗
zha4	〖丿 丅 二 乍〗
hu1	〖丿 丷 一 亅 乎〗
fa2	〖丿 之 乏〗
zhong4	〖丿 丨 丿 丿 丶 乀 乑〗
ping1	〖丘 丿 乒〗
pang1	〖丘 丶 乓〗
hu3	〖厂 一 巿 乕〗〖厂 二 巾 乕〗
guai1	〖千 北 乖〗
cheng2, sheng4	〖禾 艹 一 乗〗〖禾 北 乘〗
cheng2	〖禾 北 乘〗〖禾 丬 匕 乘〗
mie1, nie4	〖卩 乚 乜〗
jiu3	〖丿 乙 九〗
qi3	〖𠂉 乙 乞〗〖丿 一 乙 乞〗
ye3	〖卩 丨 乚 也〗
